Комментарий String; ФИО String; Рейтинг Float; Рейтинг Float; Рейтинг Float; Кол-во_проектов Integer; Дата_рождения Date; Рейтинг Float; ФИО String; Комментарий String; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 8,56; 2,42; 2,21; 56; 27.05.1999; 0,03; Калинина Ника Львовна; Дорогие друзья, постоянный кол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,02; 9,28; 7,98; 19; 12.12.2004; 6,5; Костина Зоя Ивановна; Соображения высшего порядка, а; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 5,99; 5,85; 4,73; 89; 05.09.1999; 4,29; Калашников Кирилл Кириллович; Таким образом, постоянное инфо; 
Задача организации, в особенно; Петрова Дарина Семёновна; 4,98; 2,09; 9,16; 89; 27.09.1980; 1,0; Сидорова Екатерина Ивановна; Повседневная практика показыва; 
Разнообразный и богатый опыт р; Петрова Дарина Семёновна; 8,91; 4,61; 4,61; 56; 04.12.2022; 4,61; Петрова Дарина Семёновна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,28; 1,51; 5,23; 24; 29.09.1970; 3,06; Сергеева Юлия Андреевна; Таким образом, постоянное инфо; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,66; 7,15; 5,55; 75; 10.01.2006; 5,24; Платонова Таисия Александровна; Повседневная практика показыва; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,51; 2,84; 0,4; 67; 29.10.1987; 6,61; Кожевников Марк Романович; Не следует, однако, забывать о; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,49; 5,82; 4,29; 53; 20.11.2016; 4,72; Михайлова Мира Артёмовна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,28; 0,4; 5,51; 78; 22.07.2000; 3,9; Журавлев Богдан Артёмович; Соображения высшего порядка, а; 
Повседневная практика показыва; Петрова Дарина Семёновна; 0,54; 7,11; 7,15; 21; 19.09.2019; 4,29; Фролова Ольга Никитична; Соображения высшего порядка, а; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 3,85; 4,04; 7,11; 55; 29.12.1992; 9,16; Алексеева Виктория Максимовна; Равным образом дальнейшее разв; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,27; 6,6; 4,73; 69; 15.05.1991; 9,9; Алексеева Виктория Максимовна; Задача организации, в особенно; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 0,03; 8,33; 5,01; 24; 01.11.2019; 5,66; Шевелева Марина Васильевна; Значимость этих проблем настол; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 0,93; 6,49; 7,9; 24; 11.08.2013; 5,9; Воробьева Антонина Адамовна; Повседневная практика показыва; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 4,04; 4,5; 4,61; 49; 27.09.1980; 7,9; Кононова Сафия Тимофеевна; Равным образом дальнейшее разв; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 8,84; 8,85; 4,22; 90; 11.05.1990; 8,19; Тарасова Анна Фёдоровна; Не следует, однако, забывать о; 
